Age,Sex,Education,Country,Ethnicity,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness,Impulsivness,Sensation Seeing,Alcohol,Amphetamines,Amyl Nitrite,Benzodiazepine,Caffeine,Canabis,Chocolate,Cocaine,Crack,Ecstasy,Heroin,Ketamine,Legal Highs,LSD,Methadone,Mushrooms,Nicotine,Semer,VSA
45-54,Female,Professional certificate/ diploma,UK,White,Average,Average,Low,High,High,Average,Low,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
18-24,Female,University degree,UK,White,Average,Average,Average,Low,High,Average,Average,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Year,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
18-24,Female,University degree,UK,White,Average,High,Average,Average,Average,Average,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used
45-54,Female,"Some college or university, no certificate or degree",UK,White,Average,High,Average,High,Average,Average,Average,Used in Last Week,Never Used,Never Used,Used in Last Decade,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Male,Professional certificate/ diploma,UK,White,Average,Average,Low,Average,Average,Average,Average,Used in Last Week,Used in Last Decade,Used in Last Decade,Used over a Decade Ago,Used in Last Day,Used in Last Year,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Used in Last Decade,Used in Last Decade,Never Used,Never Used
18-24,Male,"Some college or university, no certificate or degree",USA,Black,Average,Low,Average,Average,Low,Average,Average,Used in Last Month,Used in Last Decade,Never Used,Never Used,Used in Last Day,Used in Last Year,Used in Last Week,Used in Last Year,Never Used,Used in Last Decade,Never Used,Used in Last Year,Used in Last Decade,Used in Last Year,Never Used,Used in Last Decade,Used in Last Day,Never Used,Never Used
25-34,Male,University degree,USA,White,Average,Low,Average,Average,Average,Average,High,Used in Last Week,Used in Last Decade,Used in Last Year,Used in Last Week,Used in Last Day,Used in Last Year,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Month,Used in Last Decade,Used in Last Decade,Used in Last Year,Used in Last Year,Never Used,Never Used
18-24,Female,"Some college or university, no certificate or degree",USA,Black,High,Low,Average,Average,Low,Average,Average,Used in Last Month,Used in Last Week,Never Used,Used in Last Year,Used in Last Day,Used in Last Week,Used in Last Day,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Used in Last Month,Used in Last Month,Never Used,Never Used
35-44,Female,Professional certificate/ diploma,UK,White,Low,Average,Average,Average,Average,Average,Average,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Female,Professional certificate/ diploma,Canada,White,High,Low,Low,High,Average,Average,Low,Used in Last Day,Used in Last Decade,Never Used,Used in Last Week,Used in Last Week,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used
25-34,Female,Masters degree,USA,White,Average,Average,High,Average,Average,Average,Average,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Month,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Used in Last Month,Never Used,Used in Last Year,Never Used,Never Used,Never Used
35-44,Male,"Some college or university, no certificate or degree",USA,White,High,Low,Average,Low,Average,Low,Average,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Used in Last Decade,Used in Last Day,Used in Last Year,Used in Last Month,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Year,Never Used,Used over a Decade Ago
25-34,Male,"Some college or university, no certificate or degree",Other,White,High,Low,Average,High,Average,Average,Average,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Year,Used in Last Year,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Year
25-34,Female,Doctorate degree,UK,White,Low,Average,Average,High,Average,Average,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Female,University degree,UK,White,Average,Average,Average,Average,Average,Low,Average,Used in Last Week,Never Used,Used over a Decade Ago,Used in Last Decade,Used in Last Day,Used in Last Decade,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
25-34,Female,University degree,UK,White,Average,Average,Average,High,High,Low,Low,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Male,Masters degree,UK,White,Average,Average,Average,Average,Average,High,Average,Used in Last Day,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Day,Used in Last Year,Used in Last Week,Used in Last Decade,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
35-44,Male,Professional certificate/ diploma,UK,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used
18-24,Male,"Some college or university, no certificate or degree",USA,White,Average,Low,Average,Average,Average,Average,Average,Used in Last Year,Never Used,Never Used,Used in Last Week,Used in Last Week,Used in Last Month,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used
55+,Male,Doctorate degree,UK,White,Low,Average,Average,Low,High,Average,Average,Used in Last Day,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Used in Last Decade,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
45-54,Female,University degree,UK,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Month,Never Used,Never Used,Used in Last Decade,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
25-34,Female,Masters degree,USA,White,Low,Average,Average,Average,Average,Average,Average,Used in Last Day,Used in Last Year,Never Used,Used in Last Year,Used in Last Day,Used in Last Year,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Used in Last Month,Never Used,Used in Last Month,Never Used,Used in Last Decade
18-24,Male,"Some college or university, no certificate or degree",USA,White,High,Average,High,Low,Low,High,Average,Used in Last Month,Used in Last Year,Never Used,Used in Last Month,Used in Last Day,Used in Last Month,Used in Last Day,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Never Used,Used in Last Decade,Never Used,Never Used,Used in Last Decade,Used in Last Month,Never Used,Never Used
35-44,Female,University degree,USA,White,High,Average,High,Average,Average,High,High,Used in Last Day,Never Used,Never Used,Used in Last Year,Used in Last Week,Used in Last Day,Used in Last Month,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Day,Used in Last Decade,Never Used
25-34,Female,Professional certificate/ diploma,UK,White,Average,Average,Low,Average,Average,Average,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
18-24,Male,"Some college or university, no certificate or degree",USA,White,Average,Average,Average,Average,Low,Average,Average,Used in Last Day,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Week,Used in Last Decade,Used in Last Day,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Year,Never Used,Used in Last Year,Used in Last Week,Never Used,Used in Last Decade,Used in Last Month,Never Used,Used in Last Decade
18-24,Male,Left school at 18 years,Canada,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Week,Used in Last Week,Never Used,Used in Last Year,Used in Last Year,Used in Last Day,Used in Last Month,Used in Last Year,Used in Last Year,Used in Last Year,Never Used,Never Used,Used in Last Week,Used in Last Year,Used in Last Year,Used in Last Month,Used in Last Day,Never Used,Used in Last Year
55+,Male,"Some college or university, no certificate or degree",UK,White,Average,Low,Low,Average,Low,Average,Average,Used in Last Month,Used in Last Decade,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Used in Last Day,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Day,Never Used,Used over a Decade Ago
18-24,Male,University degree,UK,White,Average,Average,Low,Average,High,Average,Average,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
18-24,Female,Professional certificate/ diploma,UK,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Week,Used in Last Decade,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
35-44,Female,University degree,UK,White,Average,Average,Average,Average,High,Average,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
45-54,Female,University degree,UK,White,Low,High,Average,Average,Average,Average,Average,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
35-44,Female,Left school at 18 years,UK,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
25-34,Female,University degree,UK,White,Average,High,Average,Average,Average,High,High,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Decade,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Used in Last Day,Never Used,Never Used
35-44,Female,Masters degree,UK,White,Average,Average,Average,Low,Average,Average,Average,Used in Last Week,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Day,Used in Last Decade,Used in Last Week,Used in Last Decade,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Never Used,Used over a Decade Ago
35-44,Female,Doctorate degree,UK,Other,Low,High,Average,Average,High,Average,Average,Used in Last Month,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Used in Last Month,Used in Last Day,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Used in Last Month,Never Used,Never Used
45-54,Female,Left school before 18 years,UK,White,Average,Average,Low,High,High,Low,Low,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Male,Professional certificate/ diploma,UK,White,High,Average,Average,Average,Average,Average,Average,Used over a Decade Ago,Never Used,Never Used,Used in Last Decade,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Male,Masters degree,UK,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Week,Never Used,Used over a Decade Ago,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
35-44,Female,Masters degree,UK,Other,Average,Average,High,Average,Average,Average,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
45-54,Male,Professional certificate/ diploma,UK,White,Low,Average,Average,Average,Average,Average,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
25-34,Female,University degree,UK,White,Average,Average,Average,Average,Low,Average,Average,Used in Last Week,Never Used,Used over a Decade Ago,Never Used,Used in Last Week,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Female,University degree,UK,White,Average,High,Low,High,High,Low,Low,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Female,Left school at 18 years,UK,White,Average,Average,Low,Average,High,Average,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
45-54,Male,University degree,UK,White,Average,High,Average,Average,High,High,Average,Used in Last Day,Used in Last Decade,Never Used,Never Used,Used in Last Year,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
55+,Male,Professional certificate/ diploma,UK,White,Low,Average,Low,Average,Average,Average,Average,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
45-54,Female,Professional certificate/ diploma,UK,White,Low,Average,Average,Average,Average,Low,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
25-34,Female,Left school before 18 years,UK,White,Low,Low,Low,High,Average,Low,Low,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Female,Masters degree,UK,White,Average,Average,Average,Average,Average,Low,Average,Used in Last Week,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Week,Used in Last Decade,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used,Used over a Decade Ago,Used in Last Month,Never Used,Never Used
18-24,Female,Left school before 18 years,UK,White,Low,Average,Low,High,Average,Average,Low,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
45-54,Male,Masters degree,UK,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
18-24,Male,"Some college or university, no certificate or degree",Other,White,Low,Average,Average,Average,High,Low,Average,Used in Last Month,Never Used,Used in Last Year,Used in Last Decade,Used in Last Day,Used in Last Week,Used in Last Day,Never Used,Never Used,Used in Last Month,Never Used,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used
25-34,Female,"Some college or university, no certificate or degree",UK,White,Average,Low,Average,Average,Average,Average,Average,Used in Last Day,Used in Last Decade,Used in Last Decade,Used in Last Year,Used in Last Day,Used in Last Year,Used in Last Week,Never Used,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
45-54,Male,Masters degree,UK,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Week,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Day,Used in Last Year,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Never Used,Used in Last Decade,Used in Last Day,Never Used,Never Used
25-34,Male,Professional certificate/ diploma,UK,White,Average,Average,Average,Low,High,Average,Low,Used in Last Month,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Day,Used in Last Decade,Used in Last Day,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Used in Last Day,Never Used,Never Used
45-54,Male,Professional certificate/ diploma,UK,White,Average,Average,Low,Average,Average,Low,Low,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Female,Professional certificate/ diploma,UK,White,Low,Average,Average,Average,High,Average,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
25-34,Female,Masters degree,UK,White,Low,Average,Low,High,High,Average,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Decade,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used
35-44,Male,Professional certificate/ diploma,UK,White,Low,Average,Average,High,Average,Average,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Male,Professional certificate/ diploma,UK,White,Low,Average,Average,Average,Average,Average,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
55+,Female,Left school before 18 years,UK,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Week,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Female,Professional certificate/ diploma,UK,White,Average,Average,Average,Average,Average,Average,Low,Used in Last Month,Never Used,Used in Last Decade,Never Used,Used in Last Year,Used in Last Decade,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
45-54,Female,University degree,UK,White,Average,Average,Average,Average,High,Low,Low,Used in Last Day,Never Used,Never Used,Used over a Decade Ago,Used in Last Year,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Female,University degree,USA,White,High,Average,Average,Low,Average,Low,Low,Used in Last Week,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Day,Never Used,Never Used,Used in Last Year,Never Used,Used in Last Decade,Never Used,Used in Last Month,Never Used,Used in Last Decade,Used in Last Month,Never Used,Never Used
35-44,Male,University degree,UK,White,Low,Average,High,Average,Average,Average,Average,Used in Last Week,Used in Last Decade,Used over a Decade Ago,Never Used,Used in Last Day,Used in Last Decade,Used in Last Day,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Decade,Never Used,Used over a Decade Ago
35-44,Female,Masters degree,UK,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
55+,Female,"Some college or university, no certificate or degree",UK,White,Average,Average,Low,Average,Average,Average,Average,Used in Last Year,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
25-34,Female,Left school before 18 years,UK,White,Low,Average,Average,High,High,Low,Average,Used in Last Month,Never Used,Never Used,Used in Last Day,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
35-44,Female,Masters degree,UK,Black,Average,Average,Average,Average,Average,Average,Low,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Female,"Some college or university, no certificate or degree",UK,White,Average,Average,Average,High,Average,Average,Average,Used in Last Day,Never Used,Never Used,Used in Last Decade,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
18-24,Male,University degree,USA,White,High,Average,High,High,Average,Average,High,Used in Last Week,Used in Last Day,Never Used,Used in Last Day,Used in Last Decade,Used in Last Day,Used in Last Day,Never Used,Never Used,Used in Last Year,Never Used,Used in Last Year,Used in Last Decade,Used in Last Year,Used in Last Decade,Used in Last Year,Used in Last Day,Never Used,Used over a Decade Ago
25-34,Female,Left school before 18 years,USA,White,High,Average,Average,Low,Low,Average,Average,Used in Last Week,Used in Last Day,Never Used,Used in Last Week,Used in Last Day,Used in Last Year,Used in Last Week,Used in Last Decade,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Used over a Decade Ago,Used in Last Week,Used over a Decade Ago,Used in Last Day,Never Used,Never Used
45-54,Male,Left school before 18 years,UK,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Week,Never Used,Never Used,Used in Last Decade,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
25-34,Female,University degree,USA,White,High,Average,High,Low,Average,High,High,Used in Last Week,Used in Last Day,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
25-34,Male,University degree,UK,White,Average,Average,Average,High,High,Average,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
25-34,Female,Professional certificate/ diploma,UK,White,Average,High,Average,Average,Average,Average,Average,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Used in Last Decade,Used in Last Day,Used in Last Decade,Used in Last Day,Used in Last Decade,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Never Used
18-24,Male,"Some college or university, no certificate or degree",USA,White,Low,Average,Average,Low,Low,Average,High,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Never Used,Never Used,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Used in Last Week,Never Used,Never Used
18-24,Female,Left school at 18 years,USA,White,High,High,High,Average,High,Average,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Decade,Used in Last Year,Used in Last Day,Never Used,Never Used
18-24,Male,Left school at 18 years,USA,White,Average,Average,High,Average,Low,Average,Average,Used in Last Week,Used in Last Year,Used in Last Year,Used in Last Year,Used in Last Day,Used in Last Day,Used in Last Week,Used in Last Decade,Used in Last Year,Used in Last Year,Never Used,Never Used,Used in Last Week,Used in Last Decade,Used in Last Year,Used in Last Year,Used in Last Day,Never Used,Used in Last Decade
35-44,Male,Professional certificate/ diploma,UK,White,High,Average,Low,Average,Average,Low,Low,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
45-54,Male,Masters degree,Australia,White,Average,Average,Average,Average,High,High,Average,Used in Last Year,Used in Last Day,Used over a Decade Ago,Used in Last Decade,Used in Last Day,Used in Last Year,Used in Last Week,Used in Last Month,Never Used,Used in Last Month,Used in Last Year,Never Used,Never Used,Used in Last Month,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
35-44,Male,Masters degree,Other,White,Average,Low,Average,Average,Average,Average,Low,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Week,Used in Last Week,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used
45-54,Female,Professional certificate/ diploma,UK,White,Average,Average,Average,Low,Average,Average,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Used over a Decade Ago,Never Used,Never Used
35-44,Female,Professional certificate/ diploma,UK,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Decade,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
18-24,Male,"Some college or university, no certificate or degree",USA,White,Average,Low,Average,Low,Low,Average,Average,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Month,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Month,Used in Last Year,Never Used,Used in Last Month,Used in Last Day,Never Used,Never Used
